date,Close,Return,LogReturn,Gap,Body,UpperShadow,LowerShadow,BETA10,BETA20,BETA30,BETA5,CNTD10,CNTD20,CNTD30,CNTD5,CNTN10,CNTN20,CNTN30,CNTN5,CNTP10,CNTP20,CNTP30,CNTP5,CORD10,CORD20,CORD30,CORD5,CORR10,CORR20,CORR30,CORR5,IMAX10,IMAX20,IMAX30,IMAX5,IMIN10,IMIN20,IMIN30,IMIN5,IMXD10,IMXD20,IMXD30,IMXD5,MA10,MA20,MA30,MA5,MAX10,MAX20,MAX30,MAX5,MIN10,MIN20,MIN30,MIN5,QTLD10,QTLD20,QTLD30,QTLD5,QTLU10,QTLU20,QTLU30,QTLU5,RANK10,RANK20,RANK30,RANK5,RESI10,RESI20,RESI30,RESI5,ROC10,ROC20,ROC30,ROC5,RSQR10,RSQR20,RSQR30,RSQR5,RSV10,RSV20,RSV30,RSV5,STD10,STD20,STD30,STD5,SUMD10,SUMD20,SUMD30,SUMD5,SUMN10,SUMN20,SUMN30,SUMN5,SUMP10,SUMP20,SUMP30,SUMP5,VMA10,VMA20,VMA30,VMA5,VSTD10,VSTD20,VSTD30,VSTD5,VSUMD10,VSUMD20,VSUMD30,VSUMD5,VSUMN10,VSUMN20,VSUMN30,VSUMN5,VSUMP10,VSUMP20,VSUMP30,VSUMP5,WVMA10,WVMA20,WVMA30,WVMA5
2026-06-26T04:00:00Z,705.62,-0.0149305822,-0.0150431654,-0.0128365314,-0.0021212807,0.0119286684,0.0037829506,-0.0037655687,,,-0.0088184859,-0.2,,,-0.6,0.6,,,0.8,0.4,,,0.2,-0.214276956,,,-0.6174649351,0.0031635388,,,-0.53742825,0.5,,,0,0.9,,,0.8,-0.4,,,-0.8,1.0256930076,,,1.0159051614,1.0562625776,,,1.0562625776,0.9962090077,,,0.9962090077,1.0112808594,,,1.0070576231,1.0460304413,,,1.0151568833,0.1,,,0.2,-0.0087479483,,,0.0017318103,-0.0142769334,,,-0.0451820679,0.3851468488,,,0.6168308301,0.0631268437,,,0.0631268437,0.0174278727,,,0.0158791037,-0.0924134189,,,-0.7449799197,0.5462067095,,,0.8724899598,0.4537932905,,,0.1275100402,1.1609600921,,,1.0819029926,0.2114498301,,,0.1392817225,-0.1575464832,,,-0.3786164151,0.5787732416,,,0.6893082076,0.4212267584,,,0.3106917924,0.7526548628,,,1.0343747291
2026-06-29T04:00:00Z,723.95,0.0259771548,0.0256454803,0.0119327683,0.0138787743,0.0008542939,0.0122542155,-0.0039525164,,,0.0021769459,-0.2,,,-0.2,0.6,,,0.6,0.4,,,0.4,-0.2078043131,,,-0.5546749482,0.036450704,,,-0.1976507913,0.4,,,0.4,0.8,,,0.6,-0.4,,,-0.2,1.0001968368,,,0.9862739139,1.0295186132,,,1.0037157262,0.9709855653,,,0.9709855653,0.9856758063,,,0.9815595,1.0195455487,,,0.9894536916,0.6,,,1,0.017589487,,,0.0093721942,0.0047604508,,,-0.0191708441,0.4501136758,,,0.1333057967,0.4956932153,,,0.8864739396,0.0169215269,,,0.0084321461,0.0276078558,,,-0.2273457584,0.4861960721,,,0.6136728792,0.5138039279,,,0.3863271208,1.1897891745,,,1.1630768822,0.2205180128,,,0.1350059501,-0.1355601215,,,0.0529117421,0.5677800607,,,0.4735441289,0.4322199393,,,0.5264558711,0.680885821,,,0.7140300442
2026-06-30T04:00:00Z,736.07,0.0167414877,0.0166028937,0.0005801506,0.0161519665,0.0021397904,0.0005107887,-0.0012882915,,,0.0079578029,-0.2,,,0.2,0.6,,,0.4,0.4,,,0.6,-0.0192642488,,,0.5777206822,0.1501349089,,,-0.1785612826,0.3,,,0.8,0.7,,,0.4,-0.4,,,0.4,0.9827876425,,,0.9761449319,1.0125667396,,,1.002105778,0.9549974867,,,0.9549974867,0.9694458407,,,0.9653973128,1,,,0.9835341747,0.8,,,1,0.0230096693,,,0.0079394623,-0.0093137189,,,0.0315171389,0.0578552591,,,0.6003706315,0.7817109145,,,0.9552992069,0.015384015,,,0.0145244086,-0.0607603828,,,0.4512439807,0.5303801914,,,0.2743780096,0.4696198086,,,0.7256219904,1.089178542,,,1.0040355476,0.1952280689,,,0.0658290398,0.0285493334,,,-0.4579054389,0.4857253333,,,0.7289527195,0.5142746667,,,0.2710472805,0.7053807746,,,0.4861484715
2026-07-01T04:00:00Z,725.32,-0.0146045892,-0.0147122861,-0.0093401443,-0.0053140792,0.0035998601,0.0009736765,-0.0006419319,,,0.006681189,-0.2,,,0.2,0.6,,,0.4,0.4,,,0.6,0.1416059469,,,0.6750078562,0.0680773315,,,-0.1994999131,0.2,,,0.6,0.6,,,0.2,-0.4,,,0.4,0.9968365687,,,0.9946713175,1.0275740363,,,1.0169580323,0.9691515469,,,0.9691515469,0.9838140407,,,0.9875847902,1.0148210445,,,1,0.7,,,0.8,0.006052125,,,-0.0080336955,-0.005143539,,,0.0207148888,0.0142806608,,,0.4587305683,0.5280235988,,,0.6452775775,0.0154291426,,,0.0139505045,-0.0338692197,,,0.255511196,0.5169346098,,,0.372244402,0.4830653902,,,0.627755598,1.2725431494,,,1.1677708185,0.2460923346,,,0.113930886,-0.1573050883,,,-0.4094637832,0.5786525441,,,0.7047318916,0.4213474559,,,0.2952681084,0.7517089155,,,0.3284487241
2026-07-02T04:00:00Z,712.53,-0.0176335962,-0.0177909203,0.0002619533,-0.017890863,0.0072914226,0.0067814365,-0.0015818579,0.0003580749,,0.0021318401,-0.2,,,-0.2,0.6,,,0.6,0.4,,,0.4,-0.0262474163,,,-0.1200713287,-0.0022718483,-0.5356826224,,-0.331864031,0.1,0.55,,0.4,0.5,0.15,,0,-0.4,0.4,,0.4,1.0134443462,1.0112398776,,1.011463377,1.046019115,1.046019115,,1.0352125525,0.9865479348,0.9623173761,,0.9865479348,1,0.9972913421,,1,1.0330372055,1.0330372055,,1.0179501214,0.3,0.3,,0.4,-0.0063259856,-0.014641589,,-0.0157270571,-0.0126924303,,,-0.0052839882,0.0774990108,0.0121297727,,0.0410344082,0.2261946903,0.4502012072,,0.2764239366,0.0163209849,0.0187474996,,0.014883173,-0.0788771205,,,-0.0585143387,0.5394385602,,,0.5292571694,0.4605614398,,,0.4707428306,0.9001165942,1.1012742326,,0.8227851333,0.172049213,0.440177657,,0.102142374,0.0810713914,,,0.1011622846,0.4594643043,,,0.4494188577,0.5405356957,,,0.5505811423,0.6945237832,,,0.2404577262
2026-07-06T04:00:00Z,722.68,0.0142450142,0.0141445074,0.0099925617,0.00421038,0.0046550406,0.0014868339,0.0000424766,0.0008137994,,-0.0036087895,-0.2,-0.1,,0.2,0.6,0.55,,0.4,0.4,0.45,,0.6,-0.4059421858,-0.4632786431,,-0.3880462424,-0.5367144435,-0.5176534648,,-0.405944474,0,0.5,,0.2,0.4,0.1,,0,-0.4,0.4,,0.2,0.9969509326,0.9958602009,,1.0019787458,1.0313278353,1.0313278353,,1.0206730503,0.9726919245,0.9488016826,,0.9759367908,0.9859550562,0.9832844412,,1,1.0036530691,1.0088420878,,1.0036530691,0.6,0.65,,0.4,0.0028579228,-0.0035912951,,0.0052388332,-0.0220971299,-0.02299612,,0.0241773192,0.0000747204,0.0720550754,,0.2423344495,0.4657227139,0.6203890007,,0.5378905042,0.0141142162,0.0174815886,,0.0103673789,-0.1498715125,-0.0640195709,,0.2659806673,0.5749357562,0.5320097855,,0.3670096664,0.4250642438,0.4679902145,,0.6329903336,1.1691498632,1.5197544283,,1.1152831543,0.1642597467,0.616363363,,0.1528701971,-0.2692810818,-0.0141142902,,-0.1089664275,0.6346405409,0.5070571451,,0.5544832137,0.3653594591,0.4929428549,,0.4455167863,0.7009512571,0.933092881,,0.2706396286
2026-07-07T04:00:00Z,709.48,-0.0182653457,-0.0184342166,-0.0118378812,-0.0065044635,0.0030036758,0.0063854367,0.0008538477,0.0002876034,,-0.0078677341,-0.2,-0.1,,-0.2,0.6,0.55,,0.6,0.4,0.45,,0.4,-0.4977979589,-0.2673059286,,-0.4544652327,-0.404264991,-0.4198909165,,-0.3775893758,0.5,0.45,,0,0.3,0.05,,0.8,0.2,0.4,,-0.8,1.0114654395,1.0147322687,,1.0165416925,1.0396628517,1.0505158708,,1.0396628517,0.9907890286,0.9664543046,,0.9935727575,1.001578621,1.001578621,,1.0042989232,1.020395219,1.027611772,,1.0223262107,0.2,0.2,,0.2,-0.0153077542,-0.0174645012,,-0.0008062243,-0.0387752337,0.0069259154,,-0.0199875682,0.0393786291,0.0090261622,,0.6881226318,0.1884643115,0.3990610329,,0.1394495413,0.0123588226,0.0174557414,,0.01341318,-0.2360412371,0.0200155859,,-0.2452126758,0.6180206186,0.489992207,,0.6226063379,0.3819793814,0.510007793,,0.3773936621,1.0299236602,1.2487060282,,0.9859418497,0.1352737145,0.4698060926,,0.1311115076,0.0617992683,-0.1750041664,,0.0690104343,0.4691003659,0.5875020832,,0.4654947829,0.5308996341,0.4124979168,,0.5345052171,0.5670968169,0.6027357095,,0.2154951916
2026-07-08T04:00:00Z,711.37,0.0026639229,0.0026603809,-0.0063990528,0.0091213437,0.0012270548,0.0056174994,-0.0000053248,0.0000111878,,-0.0043507598,0,-0.1,,-0.2,0.5,0.55,,0.6,0.5,0.45,,0.4,-0.2807256551,-0.2322021855,,-0.759598318,-0.1487414907,-0.3370524298,,-0.3282795429,0.4,0.4,,0,0.9,0,,0.8,-0.5,0.4,,-0.8,1.0084674642,1.011762866,,1.0068965517,1.0369006284,1.0477248127,,1.0287473467,0.9853943799,0.963886585,,0.9853943799,0.9989175816,0.9989175816,,1,1.0176841869,1.0248815666,,1.0158988993,0.4,0.3,,0.4,-0.0084435027,-0.0118691499,,0.0018049679,-0.0030970599,-0.0054385818,,-0.0335565911,0.0000014964,0.000013508,,0.4625489854,0.283569869,0.4307511737,,0.3369001297,0.0125028985,0.0175527179,,0.0090469302,-0.0224092476,-0.0165503744,,-0.5063550636,0.5112046238,0.5082751872,,0.7531775318,0.4887953762,0.4917248128,,0.2468224682,1.3131053634,1.6316348162,,1.2532602352,0.1760902126,0.6450853198,,0.2162166337,-0.2908717708,-0.0941082469,,-0.2141563497,0.6454358854,0.5470541234,,0.6070781749,0.3545641146,0.4529458766,,0.3929218251,0.4933588025,0.6656404718,,0.4998537689
2026-07-09T04:00:00Z,723.21,0.0166439406,0.0165069482,0.0098823397,0.0066954343,0.0014198218,0.004454343,-0.0001927853,-0.0001967575,,0.0013896379,0.2,0,,0.2,0.4,0.5,,0.4,0.6,0.5,,0.6,-0.3430332701,-0.1983161662,,-0.8494258378,-0.1892657355,-0.2451980068,,-0.5413688218,0.3,0.35,,0,0.8,0,,0.6,-0.5,0.35,,-0.6,0.9937009997,0.9963140028,,0.9898286805,1.0199250563,1.030572033,,1.010494877,0.9692620401,0.9571770302,,0.9692620401,0.983628545,0.983628545,,0.983628545,1.0010232159,1.0081027641,,0.9992671562,0.7,0.65,,1,0.0071665341,0.0055551934,,0.0073920438,0.0177455671,0.0228121288,,-0.0029090608,0.0021022994,0.0045535626,,0.0585562067,0.6067139738,0.5834589299,,0.745472837,0.012076847,0.0168132421,,0.0081213863,0.1173241533,0.0675743611,,-0.042310006,0.4413379233,0.4662128194,,0.521155003,0.5586620767,0.5337871806,,0.478844997,1.4592817956,1.7121973304,,1.3936083858,0.2519346054,0.4378316887,,0.3101305806,-0.2396801006,-0.369840565,,-0.1634823643,0.6198400503,0.6849202825,,0.5817411822,0.3801599497,0.3150797175,,0.4182588178,0.4278597662,0.694600314,,0.5178174167
2026-07-10T04:00:00Z,725.595,0.0032977973,0.0032923715,-0.0029452026,0.0062614412,0.0011025129,0.0056027071,0.0001146395,-0.0006973587,,0.0026957187,0.2,0.1,,0.6,0.4,0.45,,0.2,0.6,0.55,,0.8,-0.3723781747,-0.3074855805,,-0.7906409969,-0.2649271962,-0.0390557009,,-0.6703640334,0.2,0.3,,0.8,0.7,0,,0.4,-0.5,0.3,,0.4,0.991713697,0.9952893832,,0.990176338,1.0165726059,1.0271845864,,1.0010956525,0.9660761168,0.95695257,,0.9660761168,0.9803953996,0.9819940876,,0.9803953996,0.9996210007,1.004789173,,0.9967130424,0.9,0.75,,1,0.0077704254,0.0113355246,,0.0044322246,0.0129551943,0.0471252922,,0.0183360701,0.0007162929,0.0785615107,,0.1721941183,0.6718067686,0.6129317111,,0.9687131051,0.0123031344,0.0143465391,,0.0091871416,0.0891022564,0.1438894886,,0.3310528316,0.4554488718,0.4280552557,,0.3344735842,0.5445511282,0.5719447443,,0.6655264158,1.4680134741,1.7276318358,,1.28293943,0.2924613157,0.425388543,,0.2458618091,-0.3049615499,-0.226360353,,-0.7003498811,0.652480775,0.6131801765,,0.8501749406,0.347519225,0.3868198235,,0.1498250594,0.5170706704,0.7587117217,,0.696047078
2026-07-13T04:00:00Z,711.85,-0.0189430743,-0.0191247929,-0.0106739986,-0.0083582921,0.0010796127,0.0023403218,-0.0017832749,-0.001058631,,0.0026641849,0.2,0,,0.2,0.4,0.5,,0.4,0.6,0.5,,0.6,-0.338697971,-0.2588543279,,-0.4803589238,0.0651005461,0.1251411884,,-0.4510481703,0.1,0.25,,0.6,0.6,0.8,,0.2,-0.5,-0.55,,0.4,1.0117377256,1.0142270141,,1.0062527218,1.0362014469,1.0470183325,,1.0204256515,0.9847299291,0.9847299291,,0.9847299291,1,1,,0.9993257006,1.0189225258,1.0241904896,,1.0159584182,0.3,0.25,,0.6,-0.0037129886,-0.0041700198,,-0.0115810915,0.0088291148,-0.0055738713,,-0.0149858859,0.2020761609,0.1691244477,,0.1600210678,0.2966703057,0.2451511051,,0.4277843369,0.0113943021,0.0148435312,,0.0094186959,0.0581156716,-0.0183204004,,-0.2515095216,0.4709421642,0.5091602002,,0.6257547608,0.5290578358,0.4908397998,,0.3742452392,1.6214229733,1.9193171889,,1.3586288704,0.3936501496,0.4977549427,,0.3241876746,-0.2829585515,-0.1994727498,,-0.5778669424,0.6414792758,0.5997363749,,0.7889334712,0.3585207242,0.4002636251,,0.2110665288,0.5420718602,0.7173630481,,0.7163318285
2026-07-14T04:00:00Z,719.71,0.011041652,0.010981138,0.0115473766,-0.0004999514,0.0029302707,0.0073603955,-0.0014545,-0.0011240534,,0.0007391866,0.2,0,,0.6,0.4,0.5,,0.2,0.6,0.5,,0.8,-0.3522055947,-0.2497957418,,0.2327078323,0.0362007255,0.1475190916,,-0.0960806651,0,0.2,,0.4,0.5,0.75,,0,-0.5,-0.55,,0.4,1.0000993456,1.0030943019,,0.9981061817,1.0248850231,1.0355837768,,1.0092815162,0.9739756291,0.9739756291,,0.9739756291,0.9890789346,0.9890789346,,0.9890789346,1.0077948062,1.0130052382,,1.0048630698,0.5,0.45,,0.6,0.0064459043,0.0075842055,,0.0004154451,-0.0058567581,-0.0011241881,,0.0144190111,0.140749954,0.1946476284,,0.0167539634,0.5111899563,0.4224176816,,0.7371113735,0.0111356754,0.0146912319,,0.0080762604,-0.0438333506,-0.003665656,,0.2712089077,0.5219166753,0.501832828,,0.3643955461,0.4780833247,0.498167172,,0.6356044539,1.5497217261,1.8467506767,,1.1754490843,0.4322950136,0.5104921973,,0.1677388961,-0.2570408084,-0.1759090872,,-1,0.6285204042,0.5879545436,,1,0.3714795958,0.4120454564,,0,0.5622538906,0.7325621956,,0.6149662061
2026-07-15T04:00:00Z,717.7,-0.0027927915,-0.0027966987,0.0061830459,-0.0089206805,0.0002071365,0.0102601635,-0.0001037405,-0.0007483702,,-0.002355441,0,-0.1,,0.2,0.5,0.55,,0.4,0.5,0.45,,0.6,-0.457783896,-0.161966132,,-0.034523953,-0.2733432374,0.1675320756,,0.5305182263,0,0.15,,0.2,0.4,0.7,,0.4,-0.4,-0.55,,-0.2,1.0003406716,1.0041417027,,1.0026654591,1.0196739585,1.0384840463,,1.0121081232,0.9767033579,0.9767033579,,0.989508151,0.991848962,0.991848962,,1,1.0076773025,1.011000418,,1.0076773025,0.5,0.45,,0.4,0.0001261606,0.0029678138,,0.0020454229,-0.0249568655,-0.0340381432,,0.008898323,0.0013157487,0.1078549107,,0.2536743089,0.542153048,0.3770861525,,0.4642416769,0.0082146444,0.013139908,,0.0066137684,-0.2120757331,-0.1261283726,,0.1672832981,0.6060378665,0.5630641863,,0.416358351,0.3939621335,0.4369358137,,0.583641649,1.1755412218,1.4472325665,,0.9046670056,0.3295145306,0.4190115549,,0.0902416307,-0.2274027338,-0.0641748772,,-0.2740414313,0.6137013669,0.5320874386,,0.6370207156,0.3862986331,0.4679125614,,0.3629792844,0.6751308892,0.7972721542,,0.6254100628
2026-07-16T04:00:00Z,705.93,-0.0163996099,-0.016535572,-0.0075658353,-0.008901119,0.0017970713,0.0046471142,-0.0003372727,-0.0008713616,,-0.0047426799,0,-0.1,,-0.2,0.5,0.55,,0.6,0.5,0.45,,0.4,-0.6159109255,-0.1379052266,,-0.0610518247,-0.3815459819,0.1373604917,,-0.4819761412,0,0.1,,0,0.3,0.65,,0.8,-0.3,-0.55,,-0.8,1.0142726616,1.019244826,,1.0144872721,1.035230122,1.0557987336,,1.0289830436,0.9929879733,0.9929879733,,0.9953111498,1.0077061465,1.0077061465,,1.0083861006,1.0237275651,1.0274673126,,1.019520349,0.1,0.1,,0.2,-0.0127549345,-0.0109668907,,-0.0050019124,-0.0267330282,-0.0317390648,,-0.0238934749,0.011693508,0.1325183243,,0.4933100751,0.1659959759,0.1116373478,,0.1392511569,0.0089585091,0.0138024531,,0.00954946,-0.2212460064,-0.116656584,,-0.4575059571,0.6106230032,0.558328292,,0.7287529786,0.3893769968,0.441671708,,0.2712470214,0.9504326614,1.1470591427,,0.7740144743,0.2664182555,0.3285002412,,0.1297172422,-0.0275814943,-0.1092851579,,0.3723293033,0.5137907471,0.5546425789,,0.3138353484,0.4862092529,0.4453574211,,0.6861646516,0.6733711768,0.8123858788,,0.680356235
2026-07-17T04:00:00Z,695.31,-0.0150439845,-0.0151582932,-0.0201861374,0.0052480916,0.010019084,0.0070842008,-0.0022991707,-0.0013326127,-0.0003761064,-0.00673944,0,-0.1,,-0.6,0.5,0.55,,0.8,0.5,0.45,,0.2,-0.5950900478,-0.2113036829,,-0.1180718213,-0.6027580375,0.0352431671,-0.2487767807,-0.8933160499,0.4,0.05,0.3666666667,0.4,0.9,0.95,0.1,0.8,-0.5,-0.9,0.2666666667,-0.4,1.0272878285,1.0329155341,1.0332853931,1.0212710877,1.0446994866,1.071924753,1.071924753,1.0417080151,0.9877320907,0.9877320907,0.9861500626,0.9877320907,1.0203793991,1.0219901914,1.0203793991,1.0152737628,1.039363737,1.0431606046,1.0435561117,1.0322014641,0.1,0.05,0.0666666667,0.2,-0.0169415604,-0.0202557133,-0.0278318497,-0.0077922078,-0.0241674035,-0.0365530907,,-0.0417381597,0.2680699508,0.2334993161,0.0332963128,0.5640423151,0.2153496592,0.1457123334,0.1614688129,0.2272848388,0.0127548137,0.0159021912,0.0178402904,0.0126906236,-0.2014742015,-0.1308531746,,-0.6582980111,0.6007371007,0.5654265873,,0.8291490055,0.3992628993,0.4345734127,,0.1708509945,0.6805708542,0.8395898459,1.0413752692,0.6527175235,0.1717725316,0.2413640344,0.4836433175,0.1975567322,-0.077824699,0.0251228583,,0.7336944914,0.5389123495,0.4874385709,,0.1331527543,0.4610876505,0.5125614291,,0.8668472457,0.6274611171,0.792313295,,0.5543998366
2026-07-20T04:00:00Z,695.97,0.0009492169,0.0009487667,0.0101249802,-0.0090837901,0.004883605,0.0006264683,-0.0029279824,-0.0013153816,-0.000373736,-0.0100392258,0,-0.1,-0.0666666667,-0.2,0.5,0.55,0.5333333333,0.6,0.5,0.45,0.4666666667,0.4,-0.4866448549,-0.4358426966,-0.4612980026,-0.613763039,-0.6651081668,-0.1297717726,-0.1936098346,-0.8343102644,0.3,0,0.3333333333,0.2,0.8,0.9,0.0666666667,0.6,-0.5,-0.9,0.2666666667,-0.4,1.0224758251,1.0288439157,1.0302115513,1.0157391842,1.0437087806,1.0709082288,1.0709082288,1.040720146,0.9867954078,0.9867954078,0.98521488,0.9867954078,1.0143109617,1.0194117563,1.0159633318,1,1.0341106657,1.0402028823,1.042171358,1.0312226102,0.2,0.1,0.1,0.4,-0.0092999045,-0.01634779,-0.02479238,0.0043392675,-0.0369596502,-0.0582400779,-0.0591058416,-0.0223080705,0.3495607141,0.2309360796,0.0330060145,0.9116931213,0.2320121182,0.1569866758,0.1725352113,0.2448707701,0.0142244054,0.0157834416,0.0178056387,0.0148693123,-0.3515398789,-0.2327241267,-0.1279559822,-0.482381531,0.6757699395,0.6163620634,0.5639779911,0.7411907655,0.3242300605,0.3836379366,0.4360220089,0.2588092345,0.9869165573,1.1838536046,1.5255468787,1.0240756817,0.246822378,0.2967519563,0.7201604161,0.2602344178,-0.0863766396,-0.2006132937,-0.0239634914,0.2385272513,0.5431883198,0.6003066469,0.5119817457,0.3807363743,0.4568116802,0.3996933531,0.4880182543,0.6192636257,0.769240124,0.821818047,1.0940094251,0.8236586178
